ID,Abbreviations,Normalization
1,"v,z",vậy
2,"svđ,svd",sân vận động
3,"r,òi",rồi
4,"vl,vler,vailon,vlon,vail,vailz,vlozzz",vãi lồn
5,duma,đụ má
6,"đc,dc",được
7,vs,với
8,vx,vẫn
9,t,tao 
10,mj,làm gì
11,"ko,kh,k,hk,hok",không
12,a,anh
13,e,em
14,ns,nói
15,"thk,thng,thg,",thằng
16,"đcm,dcm,dkmm,dconme",địt con mẹ
17,"hlv,hvl",huấn luyện viên
18,cktg,chung kết thế giới
19,vn,Việt Nam
20,tl,Thái Lan
21,j,gì
22,"i*,ẻ",ỉa
23,"vcl,vkl,vclll",vãi cả lồn
24,vcd,vãi cả đái
25,m,mày
26,bth,bình thường
27,dm,địt mẹ
28,cmnl,con mẹ nó luôn
29,"cx,cg,cũg",cũng
30,tks,thanks
31,u,you
32,cbi,chuẩn bị
33,"cc,ccc",con cặc
34,h,giờ
35,bh,bao giờ
36,"đhs,dhs",đéo hiểu sao
37,bn,bao nhiêu
38,cmnr,con mẹ nó rồi
39,s,sao
40,bik,biết
41,cmt,comment
42,vch,vãi cả 
43,b,bạn
44,ae,anh em
45,"l,loz,lz,òn,lờ",lồn
46,cmnd,con mẹ nó đi
47,ah,à
48,cmn,con mẹ nó
49,"clm,clmm",cái lồn mẹ
50,"cđm,cdcmm",con đĩ mẹ 
51,đz,đẹp trai
52,ch,chưa
53,"đ,éo",đéo
54,"mn,mng",mọi người
55,ncc,như con cặc
56,01td,không một tác dụng
57,"vc,vaic",vãi cặc
58,xh,xã hội
59,"đb,db",đầu buồi
60,fl,follow
61,đcđ,đéo chịu được
62,fc,fanclub
63,ny,người yêu
64,bhl,ban huấn luyện
65,kco,không có
66,vcc,vãi cả cứt
67,vcut,vãi cứt
68,ccjz,con cặc gì vậy
69,ccgi,con cặc gì
70,Clgt,cái lồn gì thế
71,clg,cái lồn gì
72,clgv,cái lồn gì vậy
73,qq,quần què
74,sv,súc vật
75,cl,cái lồn
76,tg,thế giới
77,wtf,what the fuck
78,"cđg,cdg",cái đéo gì
79,"nma,nhma",nhưng mà
80,nhx,nhưng
81,n,nó
82,chs,chơi
83,cno,chúng nó
84,v~,vãi
85,ncl,như cái lồn
86,cmm,con mẹ mày
87,cmcm,con mẹ chúng mày
88,ms,mới
89,mk,mình
90,nđt,nhà đầu tư
91,uh,ừ
92,hcv,huy chương vàng
93,tr,trời
94,cno,chúng nó
95,hl,hãm lồn
96,trc,trước
97,r,rồi
98,"đbrr,dbrr",đầu buồi rẻ rách
99,ng,người
100,sml,sấp mặt lồn
101,plz,làm ơn
102,stt,status
103,nhm,người hâm mộ
104,nc,nước
105,iu,yêu
106,lmht,liên minh huyền thoại
107,sn,sinh năm
108,qte,quốc tế
109,ngta,người ta
110,"cừ,cừi",cười
111,cmg,con mẹ gì
112,atsm,ảo tưởng sức mạnh
113,"cđv,cdv",cổ động viên
114,nyc,người yêu cũ
115,ml,mặt lồn
116,vđ,vãi đái
117,tml,thằng mặt lồn
118,đmm,địt mẹ mày
119,lq,lồn què
120,"cook,cú,cúc",cút
121,chjm,chim
122,fen,fan
123,ditme,địt mẹ
124,daubuoi,đầu buồi
125,"méo,éo,đ*o,dell,đe'o,Đ.éo,del,deos,đếch,đé0",đéo
126,"cặk,cak,cẹc",cặc
127,high,hai
128,shao,sao
129,"concard,coincard,coincard",con cặc
130,râm,dâm
131,"seg,segg,sếch",sex
132,niem,niệm
133,"zo,zô",vô
134,wa,qua
135,"ak,àh",à
136,cumback,comeback
137,"zô,zo",vô
138,phắc,fuck
139,"djt,đjt",địt
140,thậc,thật
141,nắk,nắc
142,khum,không
143,pùn,buồn
144,cíu,cứu
145,bus, bú
146,nhucj,nhục
147,"roòi,roofi,ròi",rồi
148,ui,ôi
149,ocschos,óc chó
150,"Xaoloz,sl",xạo lồn
151,dôngd,đồng
152,zậy,vậy
153,oánh,đánh
154,hieenj,hiện
155,"waicạc,wildcard",wildcard
156,quó,quá
157,hamloz,hãm lồn
